year,block,Compulsory,Credits,Prog Lang,Issues?,course_id,is pre-req (ID),has pre-req,course_name,,Notes,DRPS link

1,1,TRUE,10,R,,HEIN11037x,HEIN11037,,TODO: course (1 of 2),,,http://www.drps.ed.ac.uk/current/dpt/cxhein11037.htm
1,2,TRUE,10,R,,HEIN11037y,HEIN11037,,TODO: courses (2 of 2),,,http://www.drps.ed.ac.uk/current/dpt/cxhein11037.htm
